OrderID,Date,Category,Product,Region,Quantity,UnitPrice,Sales,Discount,CustomerSegment
1001,2023-01-03,Electronics,Laptop,North,2,899.99,1799.98,0.05,Corporate
1002,2023-01-05,Furniture,Chair,East,4,199.50,798.00,0.10,Consumer
1003,2023-01-07,Office Supplies,Pen Set,West,10,12.99,129.90,0.00,Home Office
1004,2023-01-10,Electronics,Tablet,South,1,499.00,499.00,0.15,Consumer
1005,2023-01-12,Clothing,Jacket,North,3,89.99,269.97,0.05,Consumer
1006,2023-01-15,Food,Coffee Beans,East,5,24.50,122.50,0.00,Home Office
1007,2023-01-17,Electronics,Headphones,West,2,149.99,299.98,0.10,Corporate
1008,2023-01-20,Furniture,Desk,South,1,549.00,549.00,0.05,Corporate
1009,2023-01-22,Office Supplies,Stapler,North,6,18.75,112.50,0.00,Consumer
1010,2023-01-25,Clothing,T-Shirt,East,8,24.99,199.92,0.10,Consumer
1011,2023-01-27,Food,Tea,West,12,9.99,119.88,0.00,Home Office
1012,2023-01-30,Electronics,Monitor,South,1,349.00,349.00,0.05,Corporate
1013,2023-02-02,Furniture,Bookshelf,North,2,229.99,459.98,0.10,Consumer
1014,2023-02-04,Office Supplies,Notebook,East,15,5.99,89.85,0.00,Home Office
1015,2023-02-06,Electronics,Smartphone,West,1,799.99,799.99,0.00,Consumer
1016,2023-02-09,Clothing,Jeans,South,3,59.99,179.97,0.05,Consumer
1017,2023-02-11,Food,Chocolate,North,7,14.50,101.50,0.00,Consumer
1018,2023-02-13,Electronics,Laptop,East,1,1199.99,1199.99,0.10,Corporate
1019,2023-02-16,Furniture,Sofa,West,1,899.00,899.00,0.05,Corporate
1020,2023-02-18,Office Supplies,Folder,South,20,3.49,69.80,0.00,Home Office
1021,2023-02-20,Electronics,Camera,North,1,649.00,649.00,0.15,Consumer
1022,2023-02-23,Clothing,Dress,East,2,79.99,159.98,0.10,Consumer
1023,2023-02-25,Food,Olive Oil,West,3,19.99,59.97,0.00,Home Office
1024,2023-02-28,Electronics,Tablet,South,2,399.00,798.00,0.05,Corporate
1025,2023-03-02,Furniture,Chair,North,3,199.50,598.50,0.00,Consumer
1026,2023-03-05,Office Supplies,Pen Set,East,8,12.99,103.92,0.00,Consumer
1027,2023-03-07,Electronics,Headphones,West,4,149.99,599.96,0.10,Corporate
1028,2023-03-10,Clothing,Jacket,South,2,89.99,179.98,0.05,Home Office
1029,2023-03-12,Food,Coffee Beans,North,6,24.50,147.00,0.00,Consumer
1030,2023-03-15,Electronics,Monitor,East,2,349.00,698.00,0.05,Corporate
1031,2023-03-17,Furniture,Desk,West,1,549.00,549.00,0.10,Consumer
1032,2023-03-20,Office Supplies,Stapler,South,4,18.75,75.00,0.00,Home Office
1033,2023-03-22,Clothing,T-Shirt,North,10,24.99,249.90,0.15,Consumer
1034,2023-03-25,Food,Tea,East,8,9.99,79.92,0.00,Consumer
